,FIPS,2013 Rural-urban Continuum Code,Population_2010,Civilian_labor_force_2020,Unemployment_rate_2020,Median_Household_Income_2019,Med_HH_Income_Percent_of_State_Total_2019,Cluster,State,Brewery_Count
1017,21077,1.0,8589,4012,6.0,55273,105.8,0,KY,0.0
1018,21079,6.0,16912,7528,6.3,51757,99.0,2,KY,0.0
1019,21081,1.0,24662,11525,7.1,55210,105.7,0,KY,0.0
1020,21083,7.0,37121,15631,5.9,48038,91.9,2,KY,0.0
1021,21085,6.0,25746,10704,7.8,43771,83.8,3,KY,0.0
1022,21087,8.0,11258,5142,5.4,38896,74.4,2,KY,0.0
1023,21089,2.0,36910,13238,8.9,52179,99.9,3,KY,0.0
1024,21091,3.0,8565,3808,6.1,60626,116.0,0,KY,0.0
1025,21093,3.0,105543,47581,7.1,57711,110.4,0,KY,1.0
1026,21095,7.0,29278,6548,11.9,30050,57.5,3,KY,0.0
1027,21097,6.0,18846,8712,6.1,51475,98.5,2,KY,1.0
1028,21099,8.0,18199,7694,6.4,42718,81.7,2,KY,0.0
1029,21101,2.0,46250,20921,6.1,53199,101.8,0,KY,1.0
1030,21103,1.0,15416,8071,5.7,51806,99.1,0,KY,0.0
1031,21105,9.0,4902,1720,5.5,52331,100.1,2,KY,0.0
1032,21107,5.0,46920,18149,7.4,48769,93.3,3,KY,0.0
1033,21109,9.0,13494,4051,8.7,34940,66.9,3,KY,0.0
1034,21111,1.0,741096,390487,6.8,59025,113.0,0,KY,23.0
1035,21113,2.0,48586,26160,5.6,62533,119.7,0,KY,0.0
1036,21115,7.0,23356,6589,8.7,31202,59.7,3,KY,0.0
1037,21117,1.0,159720,86062,5.8,68692,131.5,0,KY,2.0
1038,21119,9.0,16346,4350,8.5,32613,62.4,3,KY,0.0
1039,21121,7.0,31883,9962,8.2,31634,60.5,3,KY,0.0
1040,21123,3.0,14193,5838,7.2,49785,95.3,3,KY,0.0
1041,21125,5.0,58849,24857,6.9,44033,84.3,3,KY,0.0
1042,21127,6.0,15860,5217,8.3,38055,72.8,3,KY,0.0
1043,21129,9.0,7887,2047,7.0,30905,59.1,3,KY,0.0
1044,21131,9.0,11310,2628,10.8,32202,61.6,3,KY,0.0
1045,21133,9.0,24519,6111,10.2,32435,62.1,3,KY,0.0
1046,21135,8.0,13870,4648,9.5,37410,71.6,3,KY,0.0
1047,21137,7.0,24742,9317,7.9,43220,82.7,3,KY,0.0
1048,21139,9.0,9519,3534,7.5,50521,96.7,2,KY,0.0
1049,21141,6.0,26835,12136,5.5,48902,93.6,2,KY,0.0
1050,21143,9.0,8314,3095,5.3,52978,101.4,2,KY,0.0
1051,21145,5.0,65565,28486,7.2,48219,92.3,3,KY,2.0
1052,21147,9.0,18306,4807,7.3,32701,62.6,3,KY,0.0
1053,21149,3.0,9531,4023,5.6,51184,97.9,2,KY,0.0
1054,21151,4.0,82916,45855,6.0,50316,96.3,2,KY,1.0
1055,21153,9.0,13333,3208,16.1,32045,61.3,3,KY,0.0
1056,21155,7.0,19820,9233,7.8,48062,92.0,3,KY,0.0
1057,21157,7.0,31448,14831,6.1,57945,110.9,2,KY,0.0
1058,21159,9.0,12929,2498,11.6,34291,65.6,3,KY,0.0
1059,21161,6.0,17490,6909,8.0,47861,91.6,3,KY,1.0
1060,21163,3.0,28602,11749,7.1,54946,105.1,0,KY,0.0
1061,21165,9.0,6306,2256,8.9,37457,71.7,3,KY,0.0
1062,21167,6.0,21331,9907,7.3,55267,105.8,2,KY,1.0
1063,21169,9.0,10099,4017,7.8,38978,74.6,3,KY,0.0
1064,21171,8.0,10963,4564,5.4,36512,69.9,2,KY,0.0
1065,21173,6.0,26499,11355,8.0,52903,101.2,3,KY,0.0
